,id,namesFormula,EC,deltaMass
8512,R00891,C00097 -> C00283,['4.2.1.22'],87.0773
8513,R00892,C00003 -> C00004,['1.8.1.6'],1.008
8514,R00894,C00002 -> C00008,['6.3.2.2'],79.9799
8515,R00897,C00097 -> C00283,"['2.5.1.47', '2.5.1.65']",87.0773
8516,R00900,C00005 -> C00006,"['1.8.1.9', '1.8.1.10']",1.008
8517,R00901,C00097 -> C00283,['4.4.1.10'],87.0773
8518,R00904,C00003 -> C00004,"['1.2.1.3', '1.2.1.5', '1.2.1.19']",1.008
8519,R00906,C00003 -> C00004,['1.5.1.26'],1.008
8520,R00910,C00002 -> C00008,['6.3.2.11'],79.9799
8521,R00912,C00002 -> C00008,['6.3.2.11'],79.9799
8522,R00914,C00099 -> C02335,['2.8.3.-'],749.5188
8523,R00916,C00099 -> C05669,[],29.9829
8524,R00917,C00099 -> C05670,[],19.0001
8525,R00918,C00005 -> C00006,['2.3.1.94'],1.008
8526,R00919,C00005 -> C00006,"['1.3.1.84', '1.3.1.-']",1.008
8527,R00920,C00002 -> C00008,['6.2.1.13'],79.9799
8528,R00922,C00003 -> C00004,['1.2.1.27'],1.008
8529,R00926,C00020 -> C05983,"['6.2.1.1', '6.2.1.17']",56.0633
8530,R00935,C00003 -> C00004,['1.2.1.27'],1.008
8531,R00936,C00003 -> C00004,['1.5.1.3'],1.008
8532,R00937,C00003 -> C00004,['1.5.1.3'],1.008
8533,R00939,C00005 -> C00006,['1.5.1.3'],1.008
8534,R00940,C00005 -> C00006,['1.5.1.3'],1.008
8535,R00941,C00005 -> C00006,['1.5.1.6'],1.008
8536,R00942,C00002 -> C00008,['6.3.2.17'],79.9799
8537,R00943,C00002 -> C00008,['6.3.4.3'],79.9799
8538,R00949,C00002 -> C00008,['2.7.1.10'],79.9799
8539,R00951,C00020 -> C00498,['3.6.1.21'],242.1205
8540,R00960,C00031 -> C00103,['2.7.1.41'],79.9799
8541,R00964,C00002 -> C00008,"['2.7.1.48', '2.7.1.213']",79.9799
8542,R00975,C00007 -> C00027,['1.3.3.7'],2.0159
8543,R00977,C00003 -> C00004,['1.3.1.1'],1.008
8544,R00978,C00005 -> C00006,['1.3.1.2'],1.008
8545,R00980,C00005 -> C00006,['1.14.13.35'],1.008
8546,R00991,C00108 -> C05835,[],70.0468
8547,R00993,C00109 -> C02876,['1.2.3.-'],51.9698
8548,R00994,C00003 -> C00004,['1.1.1.85'],1.008
8549,R01000,C00003 -> C00004,['1.1.1.27'],1.008
8550,R01011,C00002 -> C00008,['2.7.1.29'],79.9799
8551,R01013,C00010 -> C00040,['2.3.1.42'],27.0089
8552,R01013,C00111 -> C03372,[],27.0012
8553,R01021,C00002 -> C00008,['2.7.1.32'],79.9799
8554,R01022,C00007 -> C00027,['1.1.3.17'],2.0159
8555,R01029,C00060 -> C01777,['3.1.1.8'],87.166
8556,R01029,C00114 -> C01777,[],27.0042
8557,R01032,C00022 -> C02635,[],35.4761
8558,R01033,C00003 -> C00004,['1.14.12.13'],1.008
8559,R01034,C00003 -> C00004,['1.1.1.6'],1.008
8560,R01036,C00003 -> C00004,"['1.1.1.21', '1.1.1.72']",1.008
8561,R01039,C00005 -> C00006,['1.1.1.156'],1.008
8562,R01041,C00005 -> C00006,"['1.1.1.2', '1.1.1.21', '1.1.1.72', '1.1.1.372']",1.008
8563,R01049,C00002 -> C00020,['2.7.6.1'],159.9598
8564,R01050,C00002 -> C00008,['2.7.1.18'],79.9799
8565,R01051,C00002 -> C00008,['2.7.1.15'],79.9799
8566,R01053,C00002 -> C00008,['6.3.4.7'],79.9799
8567,R01054,C00020 -> C00301,"['3.6.1.13', '3.6.1.21', '3.6.1.53', '3.6.1.-']",212.0945
8568,R01058,C00005 -> C00006,"['1.2.1.9', '1.2.1.90']",1.008
8569,R01059,C00002 -> C00008,['2.7.1.28'],79.9799
8570,R01061,C00003 -> C00004,"['1.2.1.12', '1.2.1.59']",1.008
8571,R01063,C00005 -> C00006,"['1.2.1.13', '1.2.1.59']",1.008
8572,R01071,C00002 -> C02739,['2.4.2.17'],212.0945
8573,R01078,C00019 -> C00073,['2.8.1.6'],249.2261
8574,R01079,C00005 -> C00006,['1.1.1.115'],1.008
8575,R01083,C00020 -> C03794,['4.3.2.2'],116.0722
8576,R01088,C00003 -> C00004,['1.4.1.9'],1.008
8577,R01092,C00002 -> C00008,['2.7.1.6'],79.9799
8578,R01093,C00003 -> C00004,['1.1.1.21'],1.008
8579,R01094,C00003 -> C00004,['1.1.1.48'],1.008
8580,R01095,C00005 -> C00006,['1.1.1.21'],1.008
8581,R01096,C00005 -> C00006,"['1.1.1.48', '1.1.1.120', '1.1.1.359', '1.1.1.360']",1.008
8582,R01097,C00005 -> C00006,"['1.1.1.48', '1.1.1.120']",1.008
8583,R01098,C00007 -> C00027,['1.1.3.9'],2.0159
8584,R01099,C00007 -> C00027,['1.1.3.9'],2.0159
8585,R01106,C00088 -> C00244,[],15.9994
8586,R01113,C00051 -> C00127,['1.8.4.4'],305.3076
8587,R01121,C00002 -> C00008,['4.1.1.33'],79.9799
8588,R01130,C00003 -> C00004,['1.1.1.205'],1.008
8589,R01131,C00002 -> C00008,['2.7.1.73'],79.9799
8590,R01134,C00005 -> C00006,['1.7.1.7'],1.008
8591,R01135,C00035 -> C00044,['6.3.4.4'],79.9799
8592,R01137,C00002 -> C00008,['2.7.4.6'],79.9799
8593,R01138,C00131 -> C00206,['2.7.1.40'],79.9799
8594,R01139,C00131 -> C00206,['2.7.1.1'],79.9799
8595,R01140,C00131 -> C00206,['2.7.1.1'],79.9799
8596,R01142,C00003 -> C00004,['1.14.13.25'],1.008
8597,R01142,C00132 -> C01438,[],15.9994
8598,R01143,C00005 -> C00006,['1.14.13.25'],1.008
8599,R01143,C00132 -> C01438,[],15.9994
8600,R01149,C00014 -> C00064,['2.3.2.14'],129.114
8601,R01150,C00002 -> C00008,['6.3.2.4'],79.9799
8602,R01151,C00007 -> C00027,"['1.4.3.10', '1.4.3.22']",2.0159
8603,R01158,C00003 -> C00004,['1.1.1.23'],1.008
8604,R01159,C00019 -> C00021,['2.1.1.-'],14.0266
8605,R01159,C00135 -> C01152,[],14.0265
8606,R01163,C00003 -> C00004,['1.1.1.23'],1.008
8607,R01164,C00002 -> C00008,['6.3.2.11'],79.9799
8608,R01171,C00003 -> C00004,['1.3.1.44'],1.008
8609,R01172,C00003 -> C00004,"['1.2.1.10', '1.2.1.57', '1.2.1.87']",1.008
8610,R01173,C00005 -> C00006,['1.2.1.57'],1.008
8611,R01175,C00016 -> C01352,"['1.3.3.6', '1.3.8.1', '1.3.8.7', '1.3.99.-']",2.0159
8612,R01183,C00003 -> C00004,['1.1.1.18'],1.008
8613,R01195,C00005 -> C00006,['1.18.1.2'],1.008
8614,R01201,C00002 -> C00008,['2.7.1.59'],79.9799
8615,R01202,C00003 -> C00004,['1.1.1.240'],1.008
8616,R01203,C00007 -> C00027,['1.1.3.29'],2.0159
8617,R01210,C00003 -> C00004,['1.2.1.25'],1.008
8618,R01210,C00141 -> C00630,[],721.5088
8619,R01211,C00003 -> C00004,['1.1.1.84'],1.008
8620,R01212,C00005 -> C00006,['1.4.1.8'],1.008
8621,R01218,C00003 -> C00004,['1.5.1.15'],1.008
8622,R01220,C00005 -> C00006,['1.5.1.5'],1.008
8623,R01221,C00003 -> C00004,"['1.4.4.2', '1.8.1.4', '2.1.2.10']",1.008
8624,R01221,C00014 -> C00037,[],58.0361
8625,R01224,C00005 -> C00006,['1.5.1.20'],1.008
8626,R01228,C00002 -> C00008,['2.7.1.73'],79.9799
8627,R01236,C00145 -> C02885,['2.8.2.16'],80.064
8628,R01246,C00003 -> C00004,"['1.5.1.1', '1.5.1.49']",1.008
8629,R01248,C00003 -> C00004,['1.5.1.2'],1.008
8630,R01249,C00005 -> C00006,"['1.5.1.1', '1.5.1.21', '1.5.1.49']",1.008
8631,R01251,C00005 -> C00006,['1.5.1.2'],1.008
8632,R01256,C00002 -> C00008,['6.2.1.9'],79.9799
8633,R01257,C00016 -> C01352,['1.1.5.4'],2.0159
8634,R01258,C00003 -> C00004,['1.4.1.5'],1.008
8635,R01258,C00151 -> C00161,[],1.032
8636,R01259,C00151 -> C00161,['1.4.3.2'],1.032
8637,R01259,C00007 -> C00027,[],2.0159
8638,R01260,C00005 -> C00006,['1.14.13.-'],1.008
8639,R01260,C00151 -> C05710,[],15.999
8640,R01261,C00151 -> C00161,['2.6.1.12'],1.032
8641,R01264,C00007 -> C00027,[],2.0159
8642,R01265,C00151 -> C00405,['5.1.1.10'],0.0
8643,R01277,C00003 -> C00004,['1.2.1.42'],1.008
8644,R01278,C00005 -> C00006,"['1.3.1.8', '1.3.1.38']",1.008
8645,R01279,C00016 -> C01352,"['1.3.3.6', '1.3.8.7', '1.3.8.8', '1.3.8.9']",2.0159
8646,R01282,C00154 -> C05272,[],2.0159
8647,R01283,C00155 -> C00283,['4.4.1.2'],101.1039
8648,R01287,C00155 -> C00283,['2.5.1.49'],101.1039
8649,R01288,C00155 -> C00283,"['2.5.1.48', '2.5.1.-']",101.1039
