,id,namesFormula,EC,deltaMass
4273,R04893,C05583 -> C05589,['1.4.3.4'],1.0311
4274,R04894,C00218 -> C05588,['1.4.3.4'],166.1739
4275,R04894,C05583 -> C05588,['1.4.3.4'],15.0577
4276,R04900,C05623 -> C05625,['2.4.1.159'],146.1412
4277,R04900,C00015 -> C02199,['2.4.1.159'],146.1412
4278,R04901,C05631 -> C05907,"['1.1.1.219', '1.1.1.234']",2.0159
4279,R04902,C05631 -> C05911,['1.14.13.88'],15.9994
4280,R04903,C05634 -> C05635,"['1.2.1.47', '1.2.1.8', '1.2.1.31', '1.2.1.3']",15.9994
4281,R04904,C05634 -> C05635,['1.2.3.1'],15.9994
4282,R04905,C00019 -> C00021,['2.1.1.4'],14.0266
4283,R04905,C05635 -> C05660,['2.1.1.4'],14.0265
4284,R04907,C05636 -> C05637,['1.4.3.4'],19.0464
4285,R04908,C05638 -> C05639,['1.4.3.4'],19.0464
4286,R04909,C05638 -> C05651,['4.1.1.28'],44.0095
4287,R04911,C05648 -> C05651,['3.5.1.9'],28.0101
4288,R04911,C00058 -> C05648,['3.5.1.9'],206.198
4289,R04915,C05653 -> C06330,['1.13.11.47'],3.9887
4290,R04920,C00055 -> C05673,"['2.7.8.2', '2.7.8.1']",107.0483
4291,R04922,C00055 -> C05674,"['2.7.8.2', '2.7.8.1']",150.136
4292,R04928,C05686 -> C05696,"['2.7.7.4', '2.7.1.25']",79.9799
4293,R04929,C05686 -> C05697,"['2.7.7.4', '2.7.1.25']",329.2059
4294,R04930,C00109 -> C05699,['4.4.1.1'],167.0685
4295,R04930,C05688 -> C05699,['4.4.1.1'],101.1039
4296,R04931,C00019 -> C00021,['2.1.1.9'],14.0266
4297,R04931,C05688 -> C05689,['2.1.1.9'],14.0266
4298,R04935,C05689 -> C05695,['2.3.2.2'],129.1139
4299,R04936,C05692 -> C05698,['3.3.1.1'],249.226
4300,R04936,C00212 -> C05692,['3.3.1.1'],164.0645
4301,R04941,C05698 -> C05699,['4.4.1.8'],87.0773
4302,R04941,C00022 -> C05699,['4.4.1.8'],181.095
4303,R04942,C00065 -> C05699,"['2.5.1.65', '4.2.1.22', '2.5.1.47']",164.0645
4304,R04942,C05698 -> C05699,"['2.5.1.65', '4.2.1.22', '2.5.1.47']",87.0773
4305,R04944,C05688 -> C05699,['2.5.1.48'],101.1039
4306,R04945,C05688 -> C05699,['2.5.1.48'],101.1039
4307,R04945,C00033 -> C01077,['2.5.1.48'],101.1038
4308,R04946,C05688 -> C05699,['2.5.1.48'],101.1039
4309,R04946,C00042 -> C01118,['2.5.1.48'],101.1039
4310,R04948,C00015 -> C00029,"['2.4.1.85', '2.4.1.178', '2.4.1.63']",162.1406
4311,R04950,C00010 -> C00024,['2.3.1.80'],42.0367
4312,R04972,C05766 -> C05768,['4.1.1.37'],176.038
4313,R04979,C00191 -> C05787,['3.2.1.31'],742.771
4314,R04979,C05787 -> C05791,['3.2.1.31'],346.2006
4315,R04983,C00019 -> C00021,['2.1.1.201'],14.0266
4316,R04983,C05803 -> C05804,['2.1.1.201'],14.0265
4317,R04988,C00019 -> C00021,"['2.1.1.222', '2.1.1.64']",14.0266
4318,R04988,C05811 -> C05812,"['2.1.1.222', '2.1.1.64']",14.0266
4319,R04990,C00019 -> C00021,"['2.1.1.201', '2.1.1.163']",14.0266
4320,R04990,C05813 -> C05814,"['2.1.1.201', '2.1.1.163']",14.0266
4321,R04993,C00019 -> C00021,"['2.1.1.201', '2.1.1.163']",14.0266
4322,R04993,C00828 -> C05818,"['2.1.1.201', '2.1.1.163']",14.027
4323,R04996,C05827 -> C05828,['1.2.1.5'],15.9994
4324,R04998,C00031 -> C05839,['3.2.1.21'],146.1427
4325,R04998,C05838 -> C05839,['3.2.1.21'],162.1406
4326,R05000,C00156 -> C05848,['2.5.1.39'],136.2393
4327,R05000,C05847 -> C05848,['2.5.1.39'],39.851
4328,R05002,C00035 -> C00096,['2.4.1.132'],162.1406
4329,R05002,C05860 -> C05861,['2.4.1.132'],162.141
4330,R05032,C05897 -> C05898,['2.4.1.227'],203.1926
4331,R05032,C00015 -> C00043,['2.4.1.227'],203.1925
4332,R05035,C00019 -> C00021,['2.1.1.76'],14.0266
4333,R05035,C05902 -> C05903,['2.1.1.76'],14.0266
4334,R05036,C05905 -> C05906,['1.14.11.19'],19.0233
4335,R05037,C05908 -> C05909,['1.14.11.19'],19.0233
4336,R05038,C02906 -> C05909,"['1.1.1.219', '1.1.1.234']",2.0159
4337,R05039,C02906 -> C05911,['1.14.11.9'],15.9994
4338,R05046,C05922 -> C05923,['3.5.4.16'],28.0101
4339,R05046,C00058 -> C05922,['3.5.4.16'],495.1703
4340,R05048,C05923 -> C06148,['3.5.4.16'],0.0
4341,R05049,C05931 -> C05932,['1.2.1.71'],15.9994
4342,R05050,C02946 -> C05936,"['1.2.1.47', '1.2.1.8', '1.2.1.31', '1.2.1.3']",15.9994
4343,R05051,C05938 -> C05947,"['1.2.1.88', '1.5.5.2']",15.9994
4344,R05052,C00025 -> C00026,"['2.6.1.23', '2.6.1.1']",1.0312
4345,R05052,C05946 -> C05947,"['2.6.1.23', '2.6.1.1']",1.0312
4346,R05053,C00036 -> C00402,['2.6.1.21'],1.0311
4347,R05053,C05946 -> C05947,['2.6.1.21'],1.0312
4348,R05061,C00031 -> C04164,['2.3.1.152'],130.1433
4349,R05061,C05979 -> C06360,['2.3.1.152'],130.1434
4350,R05062,C05985 -> C05986,['1.1.2.8'],2.0159
4351,R05064,C06000 -> C06001,['3.1.2.4'],749.5189
4352,R05064,C00010 -> C06000,['3.1.2.4'],86.0893
4353,R05066,C06001 -> C06002,"['1.1.1.31', '1.1.1.35', '5.3.3.8', '4.2.1.17', '5.1.2.3']",2.0159
4354,R05068,C06007 -> C14463,['1.1.1.86'],2.0159
4355,R05069,C06006 -> C14463,"['1.1.1.86', '5.4.99.3']",0.0
4356,R05070,C00671 -> C06007,['4.2.1.9'],18.0153
4357,R05071,C04181 -> C06010,"['1.1.1.86', '5.4.99.3']",0.0
4358,R05072,C00094 -> C00320,['2.8.1.5'],31.057
4359,R05074,C00055 -> C04121,"['2.4.99.12', '2.4.99.15', '2.4.99.14', '2.4.99.13']",220.1767
4360,R05074,C06024 -> C06025,"['2.4.99.12', '2.4.99.15', '2.4.99.14', '2.4.99.13']",220.1767
4361,R05076,C06027 -> C06028,['4.2.1.148'],18.0153
4362,R05085,C00025 -> C00026,['2.6.1.52'],1.0312
4363,R05085,C06054 -> C06055,['2.6.1.52'],1.0312
4364,R05086,C06055 -> C06056,['4.2.3.1'],79.9799
4365,R05092,C06089 -> C06090,['4.2.3.19'],177.9751
4366,R05097,C06094 -> C06095,['1.14.11.12'],15.9994
4367,R05098,C03241 -> C06102,['1.14.13.66'],0.0
4368,R05099,C06102 -> C06104,"['1.2.1.4', '1.2.1.63']",15.9994
4369,R05100,C06102 -> C06105,['3.7.1.11'],18.0153
4370,R05105,C00053 -> C00054,['2.8.2.11'],80.0632
4371,R05109,C00015 -> C00203,['2.4.1.92'],203.1925
4372,R05110,C00015 -> C00052,['2.4.1.62'],162.1406
4373,R05111,C00015 -> C00052,['2.4.1.62'],162.1406
4374,R05113,C00055 -> C00128,['2.4.99.8'],291.2546
4375,R05116,C00055 -> C00128,['2.4.99.4'],291.2546
4376,R05123,C00019 -> C00021,['2.1.1.128'],14.0266
4377,R05123,C06160 -> C06161,['2.1.1.128'],14.0266
4378,R05124,C06171 -> C06174,['1.1.1.247'],2.0158
4379,R05126,C00067 -> C06173,['1.14.11.31'],281.3489
4380,R05126,C06172 -> C06173,['1.14.11.31'],14.0265
4381,R05127,C00067 -> C06173,['1.14.11.32'],281.3489
4382,R05127,C06173 -> C06175,['1.14.11.32'],14.0265
4383,R05132,C06186 -> C06187,['2.7.1.69'],79.9799
4384,R05133,C01172 -> C06187,['3.2.1.86'],92.0953
4385,R05133,C00530 -> C06187,['3.2.1.86'],242.1205
4386,R05134,C02323 -> C06188,['3.2.1.86'],242.1205
4387,R05134,C01172 -> C06188,['3.2.1.86'],106.1219
4388,R05135,C06193 -> C06194,"['3.1.4.16', '3.1.3.5', '3.1.3.6']",18.0153
4389,R05136,C00022 -> C06203,['4.1.2.45'],104.106
4390,R05136,C06202 -> C06203,['4.1.2.45'],70.0468
4391,R05137,C06203 -> C06204,['5.99.1.4'],0.0
4392,R05140,C00031 -> C00089,['2.4.1.10'],162.1406
4393,R05141,C00031 -> C06216,['3.2.1.74'],972.8436
4394,R05141,C06216 -> C06217,['3.2.1.74'],162.1406
4395,R05142,C06217 -> C06218,['3.2.1.74'],162.1406
4396,R05142,C00031 -> C06217,['3.2.1.74'],810.703
4397,R05144,C03313 -> C05849,['4.1.1.90'],13.9835
4398,R05148,C06318 -> C06337,['1.14.12.15'],34.0147
4399,R05149,C00019 -> C00021,['2.1.1.132'],14.0266
4400,R05149,C06319 -> C06408,['2.1.1.132'],15.9563
4401,R05150,C06319 -> C06320,"['1.3.1.54', '1.3.1.106']",2.0158
4402,R05151,C06323 -> C06324,['1.3.99.16'],15.9994
4403,R05152,C06413 -> C06415,['1.3.99.17'],15.9994
4404,R05154,C06330 -> C06343,['1.14.13.62'],15.9994
4405,R05155,C06331 -> C06332,['1.13.11.48'],3.9887
4406,R05156,C06333 -> C06336,['1.14.12.14'],16.9841
4407,R05157,C06338 -> C06339,['1.14.12.16'],34.0147
4408,R05158,C06338 -> C06342,['1.14.13.61'],15.9994
4409,R05162,C00019 -> C00021,['2.1.1.128'],14.0266
4410,R05162,C06346 -> C06348,['2.1.1.128'],14.0266
4411,R05164,C00015 -> C00029,['2.4.1.208'],162.1406
4412,R05165,C06367 -> C06368,['2.7.8.23'],44.0095
4413,R05166,C06371 -> C06372,['3.2.1.140'],324.2812
4414,R05166,C00243 -> C06371,['3.2.1.140'],365.3331
4415,R05168,C00033 -> C06376,['3.5.1.25'],241.1357
4416,R05168,C06376 -> C06377,['3.5.1.25'],42.0367
4417,R05169,C06381 -> C06384,['3.5.3.21'],42.04
4418,R05170,C06381 -> C06382,['3.5.3.21'],0.9848
4419,R05171,C06382 -> C06383,['3.5.3.21'],44.0095
4420,R05172,C06383 -> C06384,['3.5.3.21'],0.9847
4421,R05174,C06390 -> C06392,['4.2.1.98'],18.0153
4422,R05176,C06397 -> C06398,['5.1.3.20'],0.0
4423,R05177,C06399 -> C06408,"['5.4.99.60', '5.4.99.61']",0.0
4424,R05179,C00019 -> C00021,['2.1.1.127'],14.0266
4425,R05180,C00019 -> C00021,"['2.1.1.130', '2.1.1.131', '3.7.1.12']",14.0266
4426,R05180,C06406 -> C06407,"['2.1.1.130', '2.1.1.131', '3.7.1.12']",14.0266
4427,R05181,C00019 -> C00021,"['2.1.1.271', '2.1.1.133']",14.0266
4428,R05181,C06407 -> C06416,"['2.1.1.271', '2.1.1.133']",14.0266
4429,R05182,C00019 -> C00021,['1.16.1.8'],14.0266
4430,R05183,C06414 -> C16715,['1.3.99.19'],15.9994
4431,R05188,C00010 -> C00024,['2.3.1.85'],42.0367
4432,R05188,C00010 -> C00083,['2.3.1.85'],86.0462
4433,R05190,C00010 -> C00024,['2.3.1.86'],42.0367
4434,R05191,C00015 -> C00617,['2.4.1.43'],176.1241
4435,R05196,C00031 -> C00208,"['3.2.1.33', '2.4.1.25']",162.1406
4436,R05197,C00025 -> C05929,['6.3.2.17'],584.5467
4437,R05197,C05928 -> C05929,['6.3.2.17'],129.1227
4438,R05198,C00084 -> C00469,['1.1.2.8'],2.0158
4439,R05199,C00140 -> C00357,['2.7.1.69'],79.9799
4440,R05202,C01204 -> C01284,['2.7.1.158'],79.9799
4441,R05210,C05243 -> C06512,['1.14.21.3'],283.3218
4442,R05210,C06161 -> C06512,['1.14.21.3'],297.3483
4443,R05211,C00019 -> C00021,['2.1.1.115'],14.0266
4444,R05211,C02105 -> C06520,['2.1.1.115'],14.0266
4445,R05212,C00019 -> C00021,['2.1.1.116'],14.0266
4446,R05212,C06517 -> C06520,['2.1.1.116'],14.0265
4447,R05213,C00019 -> C00021,['2.1.1.121'],14.0266
4448,R05213,C06517 -> C06518,['2.1.1.121'],14.0265
4449,R05214,C00019 -> C00021,['2.1.1.128'],14.0266
4450,R05214,C02916 -> C06517,['2.1.1.128'],14.0266
4451,R05215,C05243 -> C06511,['1.14.21.3'],297.3484
4452,R05216,C00019 -> C00021,['2.1.1.115'],14.0266
4453,R05216,C05178 -> C06516,['2.1.1.115'],14.0266
4454,R05217,C05772 -> C06406,['1.14.13.83'],15.9994
4455,R05218,C06504 -> C06505,['1.16.8.1'],0.0
4456,R05219,C00019 -> C00021,['2.1.1.152'],14.0266
4457,R05219,C06320 -> C06416,['2.1.1.152'],28.0101
4458,R05219,C00033 -> C06416,['2.1.1.152'],862.8749
4459,R05220,C06505 -> C06506,['2.5.1.17'],250.234
4460,R05221,C06508 -> C06509,"['2.7.7.62', '2.7.1.156']",79.9799
4461,R05222,C06509 -> C06510,"['2.7.7.62', '2.7.1.156']",345.2053
4462,R05223,C00194 -> C05775,['2.7.8.26'],1301.2781
4463,R05223,C00144 -> C06510,['2.7.8.26'],1302.286
4464,R05224,C06399 -> C06503,"['6.3.5.9', '6.3.5.11']",1.9695
4465,R05224,C00025 -> C00064,"['6.3.5.9', '6.3.5.11']",0.9848
4466,R05225,C06506 -> C06507,['6.3.5.10'],3.939
4467,R05225,C00025 -> C00064,['6.3.5.10'],0.9848
4468,R05226,C06507 -> C06508,['3.5.1.90'],57.0944
4469,R05226,C03194 -> C06508,['3.5.1.90'],1165.2117
4470,R05227,C06503 -> C06504,['6.6.1.2'],57.9252
4471,R05229,C03112 -> C06565,['1.14.11.26'],15.9994
4472,R05230,C03112 -> C06568,['2.1.3.7'],43.0247
4473,R05231,C06102 -> C06103,['1.1.1.2'],2.0159
4474,R05233,C06611 -> C06613,"['1.1.1.1', '1.2.1.10', '1.1.1.284']",2.0159
4475,R05234,C06612 -> C16348,"['1.1.1.1', '1.2.1.10', '1.1.1.284']",2.0159
4476,R05235,C06577 -> C06578,['1.2.1.29'],15.9994
4477,R05236,C02222 -> C06603,['1.2.1.61'],15.9994
4478,R05237,C06613 -> C06614,['1.2.1.3'],15.9994
4479,R05238,C06615 -> C16348,['1.2.1.3'],15.9994
4480,R05239,C02526 -> C06589,['1.3.1.56'],2.0159
4481,R05240,C06579 -> C06580,['1.3.1.58'],2.0159
4482,R05241,C06585 -> C06586,['1.3.1.56'],2.0158
4483,R05244,C00472 -> C00530,['1.6.5.6'],2.0158
4484,R05245,C06586 -> C06587,['1.13.11.39'],31.9988
4485,R05246,C00530 -> C06603,['1.13.11.66'],31.9988
4486,R05247,C06578 -> C06579,['1.18.1.3'],34.0147
4487,R05248,C06580 -> C06581,['1.13.11.14'],31.9988
4488,R05249,C01751 -> C02814,['1.14.13.7'],15.9994
4489,R05258,C00472 -> C00870,['1.14.13.167'],31.014
4490,R05259,C06604 -> C06606,"['1.6.2.4', '1.14.14.1']",16.0656
4491,R05261,C06584 -> C06585,"['1.14.12.18', '1.18.1.3']",34.0146
4492,R05262,C06584 -> C06585,"['1.14.12.18', '1.18.1.3']",34.0146
4493,R05263,C06588 -> C06589,"['1.14.12.18', '1.18.1.3']",34.0147
4494,R05264,C06588 -> C06589,"['1.14.12.18', '1.18.1.3']",34.0147
4495,R05266,C06575 -> C06576,['1.18.1.3'],15.9994
4496,R05270,C03240 -> C06635,['1.14.13.188'],15.9994
4497,R05271,C06678 -> C06679,['1.1.1.257'],2.0159
4498,R05272,C02236 -> C06679,['1.2.1.62'],15.9994
4499,R05273,C00755 -> C06672,['1.2.3.9'],15.9994
4500,R05274,C00230 -> C06672,['1.14.13.82'],14.0266
4501,R05274,C00067 -> C06672,['1.14.13.82'],138.1207
4502,R05275,C03233 -> C04783,['1.3.1.64'],2.0159
4503,R05276,C06387 -> C06671,['1.3.1.63'],34.4451
4504,R05282,C06757 -> C06758,['1.1.1.90'],2.0159
4505,R05283,C06102 -> C06103,['1.1.1.258'],2.0159
4506,R05284,C06752 -> C06753,['3.8.1.5'],18.4457
4507,R05285,C06753 -> C06754,['1.1.2.8'],2.0159
4508,R05286,C06754 -> C06755,['1.2.1.3'],15.9994
4509,R05287,C00160 -> C06755,"['3.8.1.2', '3.8.1.3']",18.4456
4510,R05288,C06756 -> C06757,['1.18.1.3'],15.9994
4511,R05289,C01454 -> C06758,"['1.2.1.7', '1.2.1.28']",15.9994
4512,R05290,C01454 -> C06729,['1.14.12.10'],34.0147
4513,R05291,C01454 -> C06729,['1.14.12.10'],34.0147
4514,R05292,C06729 -> C06730,"['1.3.1.67', '1.3.1.25']",46.0254
4515,R05293,C06729 -> C06730,"['1.3.1.67', '1.3.1.25']",46.0254
4516,R05294,C06677 -> C06730,['1.14.12.14'],48.0644
4517,R05295,C06730 -> C06760,['1.13.11.2'],31.9988
4518,R05296,C00058 -> C06760,['3.7.1.9'],110.1106
4519,R05296,C06760 -> C06761,['3.7.1.9'],28.0101
4520,R05297,C06761 -> C06762,['4.2.1.80'],18.0153
4521,R05298,C00479 -> C06762,"['4.1.3.43', '4.1.3.39']",88.0621
4522,R05298,C00022 -> C06762,"['4.1.3.43', '4.1.3.39']",58.0791
4523,R05299,C04112 -> C06730,['1.13.11.1'],31.9988
4524,R05300,C04112 -> C04559,['5.5.1.1'],0.0
4525,R05301,C06564 -> C06565,['1.14.20.1'],2.0158
4526,R05305,C06714 -> C06715,['1.1.1.259'],2.0159
4527,R05308,C02183 -> C06719,['1.3.1.57'],2.0159
4528,R05309,C02923 -> C06720,['1.3.1.25'],46.0254
4529,R05310,C06721 -> C06722,['1.3.1.60'],2.0159
4530,R05311,C01063 -> C06723,['1.3.1.62'],2.0159
4531,R05312,C06725 -> C06726,['1.3.1.65'],2.0158
4532,R05313,C06727 -> C06728,['1.3.1.66'],2.0159
4533,R05314,C02923 -> C06731,"['1.3.1.68', '1.3.1.25']",46.0254
4534,R05315,C04670 -> C04687,['1.1.1.166'],2.0159
4535,R05316,C00512 -> C02949,['1.3.7.9'],15.9994
4536,R05317,C00078 -> C06732,['1.3.3.10'],2.0159
4537,R05320,C00245 -> C06735,['1.14.11.17'],66.0797
4538,R05321,C02593 -> C06736,['1.14.99.31'],2.0159
4539,R05322,C02593 -> C06737,['1.14.99.32'],2.0159
4540,R05323,C00019 -> C00021,['2.1.1.82'],14.0266
4541,R05323,C01265 -> C04443,['2.1.1.82'],14.0266
4542,R05324,C06738 -> C06739,['2.4.1.209'],162.1406
4543,R05324,C00015 -> C00029,['2.4.1.209'],162.1406
4544,R05326,C00140 -> C06372,['2.4.1.211'],162.1406
4545,R05327,C00015 -> C00167,['2.4.1.212'],176.1241
4546,R05327,C00015 -> C00043,['2.4.1.212'],203.1925
4547,R05328,C00093 -> C10517,['2.4.1.213'],162.1406
4548,R05329,C00315 -> C00986,['2.5.1.46'],71.121
4549,R05330,C00010 -> C07296,['2.3.1.154'],238.4088
4550,R05330,C00100 -> C07297,['2.3.1.154'],238.4088
4551,R05331,C00010 -> C02939,['2.3.1.156'],84.1164
4552,R05331,C00010 -> C00083,['2.3.1.156'],86.0462
4553,R05332,C04501 -> C06156,"['2.7.7.23', '2.3.1.157']",42.0367
4554,R05332,C00010 -> C00024,"['2.7.7.23', '2.3.1.157']",42.0367
4555,R05334,C02723 -> C10974,"['1.4.3.21', '1.4.3.10']",1.0312
4556,R05335,C06178 -> C10974,['1.4.3.10'],17.0073
4557,R05337,C02331 -> C11062,"['5.3.3.3', '4.2.1.120']",18.0153
4558,R05338,C00199 -> C06019,"['4.1.2.43', '4.2.1.147', '5.3.1.27']",30.026
4559,R05338,C00067 -> C06019,"['4.1.2.43', '4.2.1.147', '5.3.1.27']",230.1098
4560,R05339,C00085 -> C06019,"['4.1.2.43', '5.3.1.27']",0.0
4561,R05341,C05432 -> C05435,"['5.5.1.19', '2.5.1.32']",0.0
4562,R05347,C07209 -> C07216,['1.1.1.90'],2.0159
4563,R05348,C07213 -> C07214,['1.1.1.90'],2.0159
4564,R05349,C06711 -> C06712,['1.1.1.256'],2.0159
4565,R05350,C06711 -> C06712,['1.1.1.256'],2.0159
4566,R05352,C07113 -> C11348,['1.1.1.311'],2.0159
4567,R05353,C06760 -> C07478,"['1.2.1.32', '1.2.1.85']",15.9994
4568,R05354,C07084 -> C07085,['1.3.1.19'],2.0159
4569,R05355,C02222 -> C06329,['1.3.1.32'],34.4451
4570,R05357,C00086 -> C06657,['3.5.3.22'],184.1924
4571,R05357,C06657 -> C06658,['3.5.3.22'],42.0399
4572,R05358,C00511 -> C01998,['3.5.5.7'],19.0001
4573,R05359,C00596 -> C06587,['3.7.1.8'],138.5512
4574,R05359,C02370 -> C06587,['3.7.1.8'],96.0841
4575,R05360,C00805 -> C07731,['3.7.1.8'],96.0841
4576,R05360,C00596 -> C07731,['3.7.1.8'],120.1055
4577,R05361,C00090 -> C07734,['3.7.1.8'],140.0936
4578,R05361,C02501 -> C07734,['3.7.1.8'],92.0954
4579,R05362,C00596 -> C07087,['3.7.1.9'],54.0474
4580,R05362,C00511 -> C07087,['3.7.1.9'],96.084
4581,R05365,C00108 -> C08062,['3.7.1.13'],96.084
4582,R05365,C00596 -> C08062,['3.7.1.13'],119.1207
4583,R05367,C06609 -> C06611,['3.8.1.5'],18.4457
4584,R05368,C06610 -> C06612,['3.8.1.5'],18.4457
4585,R05369,C06597 -> C06598,['3.8.1.5'],18.4457
4586,R05370,C06598 -> C06599,['3.8.1.5'],18.4457
4587,R05373,C00100 -> C02557,['4.1.1.9'],44.0095
4588,R05374,C07479 -> C11354,['4.1.1.77'],44.0095
4589,R05375,C00587 -> C06680,['4.1.1.55'],44.0095
4590,R05378,C00111 -> C06893,['4.1.2.29'],88.0621
4591,R05378,C00222 -> C06893,['4.1.2.29'],170.0578
4592,R05379,C01659 -> C01998,['4.2.1.84'],18.0153
4593,R05380,C00084 -> C01548,['4.2.1.112'],18.0153
4594,R05383,C01987 -> C02720,['5.4.4.1'],0.0
4595,R05389,C07478 -> C07479,['5.3.2.6'],0.0
4596,R05390,C03585 -> C07090,['5.5.1.1'],80.4704
4597,R05391,C03585 -> C04431,['5.5.1.7'],36.4609
4598,R05392,C04729 -> C07095,['5.5.1.7'],36.461
4599,R05393,C03918 -> C04729,['5.5.1.11'],36.461
4600,R05399,C02814 -> C07103,['1.6.5.7'],2.0158
4601,R05404,C07085 -> C07087,['1.13.11.2'],31.9988
4602,R05405,C01987 -> C03824,"['1.13.11.74', '1.13.11.76']",31.9988
4603,R05406,C02375 -> C07089,['1.13.11.2'],31.9988
4604,R05414,C08060 -> C08061,['1.14.12.22'],34.0146
4605,R05420,C02222 -> C06676,['3.1.1.92'],64.0638
4606,R05421,C00870 -> C06604,"['3.1.1.2', '3.1.8.1']",152.1518
4607,R05421,C06604 -> C06607,"['3.1.1.2', '3.1.8.1']",121.0935
4608,R05422,C06711 -> C07715,"['1.18.1.7', '1.14.12.12']",15.9994
4609,R05423,C07715 -> C07721,"['1.18.1.7', '1.14.12.12']",34.0147
4610,R05424,C07083 -> C07111,"['1.18.1.7', '1.14.12.12']",2.0159
4611,R05425,C07111 -> C11348,"['1.18.1.7', '1.14.12.12']",15.9994
4612,R05426,C07113 -> C11348,"['1.18.1.7', '1.14.12.12']",2.0159
4613,R05427,C07113 -> C07189,"['1.18.1.7', '1.14.12.12']",15.9994
4614,R05428,C06731 -> C07215,['1.14.12.10'],34.0147
4615,R05441,C02124 -> C02375,['1.14.13.20'],15.9994
4616,R05442,C07212 -> C07213,['1.18.1.3'],15.9994
4617,R05443,C07208 -> C07216,['1.18.1.3'],15.9994
4618,R05444,C06547 -> C06548,['1.14.13.69'],15.9994
4619,R05446,C06600 -> C07102,['1.5.1.37'],18.4457
4620,R05447,C06600 -> C07101,['1.5.1.37'],18.4456
4621,R05449,C07097 -> C07098,['1.5.1.37'],18.4456
4622,R05453,C07113 -> C07114,['6.4.1.8'],44.0095
4623,R05465,C00062 -> C06655,['2.5.1.66'],72.0626
4624,R05466,C06656 -> C06657,['1.14.11.21'],15.9994
4625,R05467,C06655 -> C06656,['6.3.3.4'],18.0153
4626,R05468,C06658 -> C06659,['1.14.11.21'],2.0159
4627,R05469,C06659 -> C06660,['1.14.11.21'],2.0159
4628,R05488,C07083 -> C20782,['1.14.14.11'],15.9994
4629,R05496,C01548 -> C06547,['1.18.6.1'],2.0159
4630,R05499,C06789 -> C06790,['1.97.1.8'],34.4451
4631,R05500,C06790 -> C06791,['1.97.1.8'],34.445
4632,R05501,C06790 -> C06792,['1.97.1.8'],34.445
4633,R05506,C00010 -> C00512,['2.3.1.16'],104.1061
4634,R05506,C00024 -> C07118,['2.3.1.16'],104.1061
4635,R05506,C00512 -> C07118,['2.3.1.16'],42.0367
4636,R05508,C00186 -> C00827,['2.8.3.1'],749.5189
4637,R05508,C00024 -> C00033,['2.8.3.1'],749.5188
4638,R05509,C00511 -> C00894,['2.8.3.12'],749.5188
4639,R05509,C00024 -> C00033,['2.8.3.12'],749.5188
4640,R05510,C07090 -> C07091,['3.1.1.45'],18.0152
4641,R05511,C04706 -> C06329,['3.1.1.45'],18.0153
4642,R05520,C00019 -> C00021,['2.1.1.254'],14.0266
4643,R05520,C01912 -> C06616,['2.1.1.254'],14.0266
4644,R05521,C01912 -> C06653,['1.14.13.154'],15.9994
4645,R05522,C06616 -> C06633,['1.14.13.154'],15.9994
4646,R05531,C06630 -> C06633,['2.4.1.278'],157.2102
4647,R05531,C00363 -> C11911,['2.4.1.278'],157.2102
4648,R05532,C00019 -> C00021,['2.1.1.254'],14.0266
4649,R05532,C06633 -> C06653,['2.1.1.254'],14.0266
4650,R05548,C06606 -> C06608,"['3.1.1.2', '3.1.8.1']",121.0935
4651,R05548,C00870 -> C06606,"['3.1.1.2', '3.1.8.1']",136.0862
4652,R05549,C00124 -> C05404,['3.2.1.22'],324.2812
4653,R05549,C05402 -> C05404,['3.2.1.22'],162.1406
4654,R05551,C00511 -> C01659,['3.5.1.4'],0.9848
4655,R05553,C00022 -> C11355,"['2.6.1.85', '4.1.3.38']",137.1359
4656,R05553,C00568 -> C11355,"['2.6.1.85', '4.1.3.38']",88.062
4657,R05554,C00603 -> C02091,['3.5.3.26'],0.9847
4658,R05556,C00129 -> C05859,['2.5.1.87'],272.4759
4659,R05556,C00448 -> C05859,['2.5.1.87'],136.2419
4660,R05558,C06551 -> C06552,['3.8.1.8'],18.4457
4661,R05559,C06552 -> C06553,['3.5.99.3'],27.0684
4662,R05559,C00797 -> C06552,['3.5.99.3'],152.1539
4663,R05560,C06553 -> C06748,['3.5.99.4'],111.0589
4664,R05560,C06553 -> C06554,['3.5.99.4'],41.095
4665,R05561,C01353 -> C06554,['3.5.2.15'],67.0494
4666,R05561,C06554 -> C06555,['3.5.2.15'],25.9942
4667,R05562,C00086 -> C06555,['3.5.1.84'],43.0247
4668,R05563,C01010 -> C06555,['3.5.1.84'],0.9848
4669,R05566,C01289 -> C04881,['2.4.1.187'],203.1925
4670,R05566,C00015 -> C01170,['2.4.1.187'],203.1925
4671,R05570,C01697 -> C06311,['2.7.1.69'],79.9799
4672,R05571,C01097 -> C06311,['1.1.1.251'],2.0159
4673,R05575,C09819 -> C09820,['1.1.1.35'],2.0159
4674,R05576,C00332 -> C05116,['1.1.1.157'],2.0159
4675,R05579,C00527 -> C02411,['1.3.99.32'],2.0159
4676,R05580,C00055 -> C00128,['2.4.99.1'],291.2546
4677,R05581,C06749 -> C09821,['1.1.1.368'],2.0158
4678,R05584,C09817 -> C09818,['1.3.8.3'],2.0159
4679,R05588,C09816 -> C09817,['2.8.3.15'],749.5188
4680,R05588,C00042 -> C00091,['2.8.3.15'],749.5189
4681,R05590,C00180 -> C09815,['3.5.1.4'],0.9847
